Date,Close/Last,Volume,Open,High,Low
04/15/2025,$98.40,118457700,$93.53,$98.99,$93.05
04/14/2025,$92.62,122836900,$95.80,$97.33,$91.46
04/11/2025,$88.55,95130680,$87.98,$89.55,$85.47
04/10/2025,$88.59,124448200,$88.40,$90.78,$84.14
04/09/2025,$92.01,187244300,$78.19,$93.33,$77.27
04/08/2025,$77.32,135345600,$83.29,$86.114,$75.22
04/07/2025,$77.84,169083700,$66.65,$81.80,$66.12
04/04/2025,$74.01,147323200,$80.07,$80.98,$71.9303
04/03/2025,$83.60,93878190,$81.25,$85.68,$81.01
04/02/2025,$87.45,96563140,$82.40,$88.405,$82.30
04/01/2025,$84.68,78980660,$83.89,$85.28,$81.8201
03/31/2025,$84.40,108092900,$80.00,$84.65,$78.75
03/28/2025,$85.85,91091710,$89.34,$89.38,$84.10
03/27/2025,$90.09,82823000,$91.015,$93.65,$89.67
03/26/2025,$92.28,82138340,$96.29,$97.2999,$90.82
03/25/2025,$96.50,78015270,$97.22,$98.17,$95.08
03/24/2025,$96.75,112164700,$93.40,$97.39,$92.28
03/21/2025,$90.96,116748700,$85.85,$91.07,$84.46
03/20/2025,$87.39,105547400,$85.54,$89.80,$85.12
03/19/2025,$86.10,89797420,$84.55,$87.99,$82.86
03/18/2025,$83.89,93236490,$85.78,$86.1699,$81.80
03/17/2025,$87.35,99348870,$88.44,$88.82,$84.50
03/14/2025,$86.24,113985000,$82.97,$87.27,$82.16
03/13/2025,$79.62,100927200,$82.845,$83.74,$78.32
03/12/2025,$83.65,116525100,$83.48,$84.55,$79.86
03/11/2025,$78.05,109351500,$75.785,$80.745,$75.53
03/10/2025,$76.38,136843800,$82.00,$82.6899,$74.57
03/07/2025,$84.91,105377100,$80.025,$85.16,$79.15
03/06/2025,$80.46,117340600,$87.505,$88.34,$80.01
03/05/2025,$90.13,116053000,$86.35,$90.30,$82.50
03/04/2025,$84.40,116800300,$80.16,$88.50,$79.30
03/03/2025,$83.42,114573900,$88.55,$90.4796,$82.53
02/28/2025,$84.92,125977400,$79.98,$85.18,$78.58
02/27/2025,$84.77,99680480,$91.91,$93.62,$84.17
02/26/2025,$89.31,94846190,$89.16,$91.69,$87.59
02/25/2025,$87.84,132626300,$90.65,$91.70,$85.25
02/24/2025,$90.68,184485000,$95.88,$99.01,$89.30
02/21/2025,$101.35,129063200,$107.68,$109.07,$100.00
02/20/2025,$106.27,243093900,$102.91,$107.40,$95.80
02/19/2025,$112.06,147487300,$123.86,$125.41,$108.56
02/18/2025,$124.62,84227160,$120.94,$125.00,$118.43
02/14/2025,$119.16,65528860,$117.90,$120.67,$116.80
02/13/2025,$117.91,60026970,$117.31,$118.39,$115.1501
02/12/2025,$117.39,75316880,$110.29,$117.59,$110.00
02/11/2025,$112.62,94311710,$116.50,$118.66,$112.10
02/10/2025,$116.65,99938070,$112.03,$116.76,$108.72
02/07/2025,$110.85,143795400,$111.66,$116.30,$110.45
02/06/2025,$111.28,128217500,$101.09,$111.545,$100.26
02/05/2025,$101.36,90792350,$101.78,$103.57,$99.32
02/04/2025,$103.83,230806800,$102.80,$106.91,$100.51
02/03/2025,$83.74,126592700,$80.125,$84.25,$78.47
01/31/2025,$82.49,79000220,$81.00,$85.22,$80.87
01/30/2025,$81.22,46067530,$80.02,$81.8299,$79.38
01/29/2025,$79.76,49262160,$79.95,$80.8199,$77.81
01/28/2025,$80.23,65916660,$75.54,$80.74,$74.04
01/27/2025,$75.44,76093330,$74.07,$76.72,$72.67
01/24/2025,$78.98,77931910,$79.05,$82.24,$78.4401
01/23/2025,$78.98,55937900,$76.04,$79.00,$75.84
01/22/2025,$76.87,66876370,$74.50,$77.16,$73.80
01/21/2025,$73.07,56228970,$73.24,$73.6363,$70.6007
01/17/2025,$71.77,54753980,$70.90,$72.34,$69.95
01/16/2025,$69.24,62908660,$69.08,$71.43,$68.36
01/15/2025,$68.14,56025750,$68.55,$68.85,$67.08
01/14/2025,$65.91,56814900,$67.18,$68.23,$65.19
01/13/2025,$64.98,69046330,$64.29,$65.68,$63.40
01/10/2025,$67.26,78148640,$66.01,$68.20,$65.04
01/08/2025,$68.23,91349510,$68.12,$69.53,$66.51
01/07/2025,$69.99,91727350,$75.20,$75.39,$69.75
01/06/2025,$75.92,105619500,$78.69,$80.06,$74.61
01/03/2025,$79.89,62415010,$75.39,$79.98,$75.19
01/02/2025,$75.19,72217190,$76.20,$76.53,$72.42
12/31/2024,$75.63,56267940,$77.58,$77.9796,$73.65
12/30/2024,$77.18,60850860,$77.04,$79.24,$76.11
12/27/2024,$79.08,66975890,$81.42,$82.00,$77.93
12/26/2024,$82.14,60547750,$83.16,$83.49,$81.30
12/24/2024,$82.38,64983260,$81.09,$84.7968,$81.00
12/23/2024,$80.69,93819480,$80.65,$82.02,$77.41
12/20/2024,$80.55,281230800,$72.64,$80.66,$71.50
12/19/2024,$74.21,99524330,$73.99,$76.59,$73.37
12/18/2024,$71.51,109643400,$74.30,$77.60,$70.27
12/17/2024,$74.39,75469390,$73.28,$75.32,$71.70
